Frame,Time,Episode,Reward,Loss
8714,00:01:00,178.0,-128.95316290805437,21091.3662827595
22936,00:02:00,483.0,-127.78545812203826,26724.030362368085
38212,00:03:00,813.0,-127.23767147719137,27363.620111033255
54148,00:04:00,1146.0,-128.38835034634562,26444.29158634665
70083,00:05:00,1473.0,-125.75310406265922,26203.34394820505
85709,00:06:00,1791.0,-121.24508287782264,25636.72158301316
101900,00:07:00,2238.0,-102.08198248020821,20955.77121246849
117475,00:08:00,2634.0,-99.56355352126228,21831.035317307218
133020,00:09:00,2927.0,-101.25244795763682,22181.411374217387
148718,00:10:01,3185.0,-112.47927397405583,23405.49773385628
164695,00:11:01,3411.0,-110.48686096250744,22072.710959315093
180607,00:12:01,3650.0,-107.44324176843696,23887.43158717699
196554,00:13:01,3866.0,-105.48820049302212,22592.90891656887
212433,00:14:01,4086.0,-108.77642859769566,24227.40217437209
228479,00:15:01,4268.0,-102.64891986806981,23323.406316388406
244623,00:16:01,4427.0,-95.67313694807275,23932.776726655873
260296,00:17:01,4594.0,-92.85303547015126,27083.362160298053
275933,00:18:01,4716.0,-85.38072238892242,29556.611616658338
290899,00:19:01,4855.0,-80.36610663826832,25888.110613722492
306337,00:20:01,5050.0,-105.30284351914405,23923.284419287953
321957,00:21:02,5181.0,-80.86480947394283,25963.383728619458
337531,00:22:02,5526.0,-120.57720219760017,23270.52997001707
353397,00:23:02,6049.0,-125.15646226696175,21521.658421405926
369236,00:24:02,6572.0,-124.01663248941506,21126.952272871396
384466,00:25:02,7070.0,-126.73695844350812,21896.437659207928
