Frame,Time,Episode,Reward,Loss
17331,00h 01m 00s,361.0,-114.36591541553055,24299.134392483058
34772,00h 02m 00s,687.0,-118.55552364478092,26731.7423032231
52058,00h 03m 00s,1073.0,-125.36354021183274,24952.054553804268
69447,00h 04m 00s,1431.0,-117.83285152923737,23174.846913421083
86657,00h 05m 00s,1878.0,-101.80455833618167,20462.03779244924
103865,00h 06m 00s,2338.0,-100.67203183019345,20917.196487109893
121270,00h 07m 00s,2670.0,-111.28455155558356,24320.84405252454
138712,00h 08m 00s,2988.0,-111.25235548858475,21694.36835254288
156162,00h 09m 00s,3265.0,-119.22540434344798,23494.73254481204
173578,00h 10m 00s,3555.0,-113.70089307212953,21230.22495293845
190942,00h 11m 00s,3816.0,-118.87794094591922,23904.53583881416
208367,00h 12m 00s,4103.0,-114.79435105351793,21188.948014078498
225814,00h 13m 00s,4392.0,-117.19501358427067,22231.82012313804
243237,00h 14m 00s,4658.0,-115.02508695100404,21179.014667437463
260647,00h 15m 00s,4940.0,-105.4663478439432,21674.581359852324
278003,00h 16m 00s,5191.0,-108.81280192921098,18676.38916585854
295454,00h 17m 00s,5439.0,-110.8104869558462,19364.474779951466
312883,00h 18m 00s,5676.0,-109.3846378393411,21463.078073040626
330365,00h 19m 00s,5857.0,-111.63720212732451,21017.10994394115
347426,00h 20m 00s,6317.0,-124.3077190628639,23039.08733504704
364318,00h 21m 00s,6857.0,-125.3186741349053,22401.015020464907
381316,00h 22m 01s,7418.0,-123.82393981022771,21417.23967751498
398250,00h 23m 01s,7981.0,-124.78812272699315,19263.34197485181
415274,00h 24m 01s,8544.0,-123.45204872147897,20588.786064830158
432206,00h 25m 01s,9096.0,-124.97036057875393,18937.50023924239
449057,00h 26m 01s,9664.0,-124.76263159714965,19581.891837695614
466050,00h 27m 01s,10212.0,-124.21480138382779,16341.909382345977
482952,00h 28m 01s,10768.0,-123.14629576079987,17841.49886199006
499895,00h 29m 01s,11355.0,-124.20685248343095,16311.287355122335
516846,00h 30m 01s,11921.0,-124.50865916763647,16874.25656351134
533813,00h 31m 01s,12484.0,-124.50948984150718,16111.639429950954
550860,00h 32m 01s,13049.0,-124.2096320049277,15976.43281118371
567874,00h 33m 01s,13623.0,-124.60354128730465,17334.136379854903
584901,00h 34m 01s,14192.0,-122.99062858242976,16199.35783370767
601896,00h 35m 01s,14758.0,-125.4322994891691,16473.18261033521
618885,00h 36m 01s,15315.0,-125.30641126280608,17109.098120580053
635883,00h 37m 01s,15881.0,-123.91195333617817,16262.562259767856
653339,00h 38m 02s,16142.0,-102.81846117142666,23395.816111510285
670778,00h 39m 02s,16369.0,-104.89137757803218,23313.700223587344
688342,00h 40m 02s,16588.0,-95.35393327401036,25667.766805089454
705873,00h 41m 02s,16779.0,-86.83331493610407,29444.627964451298
723397,00h 42m 02s,16995.0,-103.35264150028704,29568.236034740366
740945,00h 43m 02s,17196.0,-83.68577815889338,32489.003593374116
758485,00h 44m 02s,17390.0,-87.71707386040393,30201.233284739712
775877,00h 45m 02s,17688.0,-118.96352372527085,23323.940394980775
792835,00h 46m 02s,18244.0,-124.66384695550214,16301.44420963028
809844,00h 47m 02s,18812.0,-124.20650554614411,13961.354467520816
826882,00h 48m 02s,19368.0,-125.89019994246142,14312.135352223873
843941,00h 49m 02s,19924.0,-124.55277396330675,16230.822544552964
861260,00h 50m 02s,20207.0,-97.19076515721235,28558.414889421347
878755,00h 51m 02s,20391.0,-80.45988825343956,29934.296343520455
896233,00h 52m 02s,20581.0,-80.63640429748419,30814.272566121625
913871,00h 53m 02s,20773.0,-78.44200869156946,29227.55675705174
931305,00h 54m 02s,21045.0,-116.5455386672961,28308.099992038562
948718,00h 55m 02s,21281.0,-103.0059905196377,34297.687766926225
966121,00h 56m 02s,21467.0,-74.49564931710665,33674.0839183428
983657,00h 57m 02s,21650.0,-73.68451174667406,31356.030329196576
1001314,00h 58m 02s,21792.0,-51.967937288869166,33719.46245105175
1018851,00h 59m 02s,21964.0,-69.4895599854382,30096.467094092757
1036458,01h 00m 02s,22113.0,-58.80622737741266,32791.86915530462
1053995,01h 01m 02s,22232.0,-41.19879604518069,32071.31314097026
1071627,01h 02m 03s,22344.0,-31.7645967637742,32276.25067696673
1089232,01h 03m 03s,22498.0,-40.94135658881581,27523.46571367665
1106887,01h 04m 03s,22635.0,-35.644172745617944,34819.337987754065
1124429,01h 05m 03s,22797.0,-67.32721200173116,37544.72071349769
1141846,01h 06m 03s,22911.0,-50.715990038313784,35852.92550769705
1159489,01h 07m 03s,23002.0,-4.674360514873003,33993.39199650684
1176967,01h 08m 03s,23122.0,-22.72768062840168,33547.37771137833
1194654,01h 09m 03s,23200.0,6.605471942743117,34558.085839664534
1212322,01h 10m 03s,23322.0,-4.146942319825881,35656.00694724321
1229898,01h 11m 03s,23406.0,-21.497000491364314,35901.53590057015
